E_nu [GeV],E_nu_centers [GeV],muon_neu cosz-1.0_-0.95 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.95_-0.9 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.9_-0.85 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.85_-0.8 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.8_-0.75 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.75_-0.7 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.7_-0.65 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.65_-0.6 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.6_-0.55 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.55_-0.5 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.5_-0.45 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.45_-0.4 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.4_-0.35 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.35_-0.3 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.3_-0.25 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.25_-0.2 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.2_-0.15 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.15_-0.1 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.1_-0.05 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),muon_neu cosz-0.05_-0.0 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-1.0_-0.95 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.95_-0.9 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.9_-0.85 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.85_-0.8 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.8_-0.75 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.75_-0.7 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.7_-0.65 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.65_-0.6 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.6_-0.55 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.55_-0.5 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.5_-0.45 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.45_-0.4 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.4_-0.35 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.35_-0.3 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.3_-0.25 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.25_-0.2 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.2_-0.15 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.15_-0.1 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.1_-0.05 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_muon_neu cosz-0.05_-0.0 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-1.0_-0.95 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.95_-0.9 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.9_-0.85 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.85_-0.8 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.8_-0.75 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.75_-0.7 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.7_-0.65 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.65_-0.6 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.6_-0.55 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.55_-0.5 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.5_-0.45 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.45_-0.4 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.4_-0.35 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.35_-0.3 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.3_-0.25 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.25_-0.2 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.2_-0.15 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.15_-0.1 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.1_-0.05 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),electron_neu cosz-0.05_-0.0 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-1.0_-0.95 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.95_-0.9 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.9_-0.85 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.85_-0.8 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.8_-0.75 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.75_-0.7 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.7_-0.65 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.65_-0.6 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.6_-0.55 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.55_-0.5 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.5_-0.45 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.45_-0.4 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.4_-0.35 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.35_-0.3 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.3_-0.25 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.25_-0.2 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.2_-0.15 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.15_-0.1 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.1_-0.05 phi0_360 smoothed weighted 1 / (cm2 GeV s sr),anti_electron_neu cosz-0.05_-0.0 phi0_360 smoothed weighted 1 / (cm2 GeV s sr)
0.025376280135386717-0.028508965271781036,0.0269426227035838,0.4312492587878033,0.5135680775644731,0.5958868963411428,0.6782057151178127,0.7450357142092976,0.8303515479052374,0.9081204095539858,0.9564485366304076,0.9967652075139316,1.034072565786078,1.0642541531622454,1.1157639974315166,1.1818818108416418,1.2897893147926114,1.37963020132101,1.4740928126601849,2.0501928612909364,3.036338382374924,3.234352654086031,3.4406171017445986,0.515475229109317,0.6245598881024828,0.7336445470956485,0.8427292060888141,0.9148625348444748,0.9719343422530996,0.9961585594387786,1.0017103706231918,0.9990513312696138,1.0106179409793647,1.0495130826126982,1.110272902273936,1.2121017148450208,1.3781627919409865,1.53900771402555,1.7295546585966208,1.948429025191963,2.1123627857081955,2.077627686568923,1.962497535610628,0.215805058739839,0.2880788582417882,0.3603526577437373,0.4326264572456864,0.4957550309522524,0.5348659441578654,0.5640733285845602,0.5762800460580816,0.5776015278926134,0.5686428171943056,0.5554312478688274,0.5523510555576048,0.570374782619938,0.57697867680256,0.6178331147325666,0.7276429618398056,0.9623750678007428,1.5085171250162703,1.623743128090334,1.6691256959742566,0.2294122021551475,0.2728327711171661,0.3162533400791847,0.3596739090412033,0.3888532714345032,0.4125216493892795,0.4319276270803528,0.4284514773388407,0.415952321072185,0.4114099717154226,0.4173387061617891,0.4368586091032882,0.4773358802368891,0.515401846387619,0.5909937794169209,0.6987152413942441,1.1077805198980342,1.826905803533177,2.001976751150941,2.0671260548470696
0.028508965271781036-0.032028378333286034,0.0302686718025335,0.5514364572743701,0.6654121785023425,0.779387899730315,0.8933636209582875,0.9694115065841228,0.9982381689404785,0.9960506122963716,0.9786864263602588,0.947985325711294,0.9398486604384528,0.9509364326088036,1.007490729036132,1.0515906496949956,1.1002967718988772,1.244151517097103,1.4759782631899618,1.962023236030517,2.786722755734089,2.7796909617874017,2.8282773454262413,0.616878109511253,0.7142164213494127,0.8115547331875721,0.9088930450257316,0.9657810721331272,0.9820593537145847,0.9825425452384312,0.9939369098420044,1.0025329049377858,1.018122934219177,1.0688363071357436,1.159672737545992,1.2903736375820567,1.3853103095615351,1.4851159553982738,1.5979031949026583,1.8792126065863155,2.648084607435439,2.757974044417681,2.890166265955691,0.2432671801893437,0.2884814624527191,0.3336957447160943,0.3789100269794697,0.4329028970636561,0.4727293852208189,0.5093510063305969,0.5348216299678884,0.5350828063473895,0.521075878860623,0.5083454112061555,0.496518058196327,0.4907048932228868,0.4856680569745037,0.4701631761884915,0.4746238081308348,0.4928540359147682,0.7268019388623459,0.8289880588450125,0.8780738436429891,0.3525532364247462,0.3644722692930476,0.376391302161349,0.3883103350296504,0.3908904740035091,0.3661140616903551,0.3422376780576319,0.3303249949835025,0.3354525565588567,0.3570541573735641,0.3948081417261466,0.4547418769870189,0.5263551690904231,0.5745690611437488,0.6080523533026152,0.6391199458677836,0.8151230987743026,1.5348641994946224,1.7338118937506295,1.853009765613496
0.032028378333286034-0.03598226062857106,0.0340053194809285,0.8764569711489625,0.9187920393727708,0.9611271075965792,1.003462175820388,1.0398450582148695,1.1177485023849802,1.2154485086504183,1.3056963560432633,1.3502496858992414,1.3916149510411635,1.3953862750759582,1.4040420327569727,1.3769857731010369,1.372780100796677,1.416646171657606,1.5161377863019103,1.843066858005032,2.569105931440393,2.7379482506258364,2.831803763346927,0.491840133400912,0.6271738289625057,0.7625075245240992,0.8978412200856928,0.9858004606185748,1.0816783689143592,1.1542937520696508,1.2062833764042995,1.256712913213322,1.2764152016618069,1.2935809338750477,1.32109789621306,1.3143752018848731,1.3394770557467397,1.37057979843192,1.4316962295384037,2.0148807437690364,3.0858933556418475,3.35244031457497,3.545617235285909,0.2903303110171744,0.3180332403436952,0.345736169670216,0.3734390989967367,0.3995829707835062,0.4335678419644604,0.4653815923339624,0.4923239445509159,0.5070573861764107,0.5016988269630557,0.4919113952243318,0.4696523976357477,0.4600502347426507,0.4630272479336851,0.5033351870093603,0.5898117737409295,0.9294551959817952,1.307247057675953,1.3513457168004015,1.3858720534267877,0.2619288787015249,0.3071234585784194,0.3523180384553138,0.3975126183322082,0.4397717755378987,0.4716141571451213,0.5033548804270068,0.5281674932661509,0.5274446953468523,0.5168144707574495,0.5063430323157685,0.5021116313718601,0.5157589568061626,0.5243547210792309,0.5701124248965267,0.6868716352448125,0.9699643456123416,1.295286878416384,1.3109635328327511,1.385815393936901
0.03598226062857106-0.04042424709954334,0.0382032538640572,0.495156047721261,0.6207947116075628,0.7464333754938646,0.8720720393801664,0.9606362172995888,1.0522797801273132,1.118127072929145,1.134739154527994,1.132287990787894,1.1156190086303337,1.0827389010107649,1.0698229402474495,1.0779992605777529,1.149591464346419,1.265717161386123,1.435645222354914,2.0198619623847933,2.67336082191191,2.7379062163705754,2.7628093101360984,0.8432535743908905,0.8684774067071868,0.893701239023483,0.9189250713397792,0.930131158365742,0.9454027616143648,0.950913751880065,0.9520196323727228,0.966748240341812,0.9789154034265326,1.0114103296373549,1.038614456740272,1.0688282189152656,1.120803797394096,1.1703062372830897,1.250175057227214,1.5730927203972602,2.2397068779975324,2.4714509878770983,2.658940896690424,0.4334992349195661,0.447295134608861,0.4610910342981561,0.4748869339874509,0.483050014318402,0.486574921935261,0.4836637401595177,0.4853980160727016,0.5055740880708506,0.5389246911107126,0.572896274761401,0.5894181983560673,0.6177131859392986,0.6394520987135125,0.6300574229455561,0.6155147106809895,0.7454789350078048,0.8973754206286445,0.8303855221249726,0.8231186455764068,0.327792016973997,0.3516320480041192,0.3754720790342414,0.3993121100643637,0.4289415695064126,0.4454424363375433,0.4603372634552114,0.4742797468017329,0.4942340619152486,0.5170450270079013,0.5364204432090128,0.548472082618826,0.5507655123231139,0.5274095267511058,0.525127019797378,0.5397155774763883,0.6989728795496042,1.2165156254491294,1.3629772224196877,1.469894056892728
0.04042424709954334-0.045414593886505185,0.0429194204930242,0.667528707414982,0.7186569007026762,0.7697850939903703,0.8209132872780642,0.875023698034749,0.9220902817143898,0.9606653049287286,0.9945574400029776,1.020227889111437,1.0168606206322723,1.0287789016868487,1.0543322888018034,1.0834225912836222,1.1068623274307037,1.117625787423261,1.151409906741464,1.4727841559411807,1.9888082844628243,2.2832290241715434,2.4551474297924067,0.6967440294611013,0.7879368524701261,0.8791296754791512,0.970322498488176,1.0387465773983464,1.080282871052333,1.101050918722121,1.1042345152619215,1.0799879278192848,1.0370585567370745,1.0048299201052378,1.0167606093455357,1.0644773693469876,1.1394511658907576,1.2496809167989091,1.4094082957668892,1.7022616171630938,2.286275612258055,2.394308464336497,2.4820169411533985,0.3348818221667511,0.3825259072315145,0.430169992296278,0.4778140773610413,0.5094316204391598,0.5350052428564461,0.5389483465811498,0.5229904341096719,0.5016673916394977,0.4868799761146833,0.4800827122560189,0.5176583693390983,0.588547055328187,0.680216128875341,0.779745154806617,0.8029348844286309,0.943448911879246,0.9060753910811694,0.8540136889830255,0.8233061964600032,0.4329071065335436,0.4362296602386742,0.4395522139438048,0.4428747676489354,0.4490279060458357,0.4633764897329872,0.4819491871007473,0.5056540976347546,0.5305245072961544,0.5415728909307705,0.5473314490035817,0.5274498760980506,0.502455935346304,0.4836332864341627,0.4708681997861764,0.506236137228417,0.7169165565376127,1.0994695931023952,1.0550987861558498,1.0510309723792506
0.045414593886505185-0.05102099571075232,0.0482177947986287,0.9290347322018876,0.9721857945970936,1.0153368569922991,1.058487919387505,1.0995344811848595,1.1182805434142091,1.1231529887528466,1.1277069478345303,1.1365901957899922,1.1518546177703797,1.1768572288078452,1.1950282002295125,1.2118421758132318,1.2222047923082906,1.2275550880578088,1.2213309066730418,1.320519639539278,1.669657764413458,1.7462839049443633,1.7877118315422078,0.8113710377148066,0.9106938713577296,1.0100167050006532,1.1093395386435765,1.1680079937363468,1.2113339681743,1.231227602987754,1.2386289689033354,1.2280302242172016,1.2205801072335225,1.221915902886751,1.2604983848937898,1.321725032872211,1.409753837627184,1.5102566123181576,1.6154309906195956,2.00201717841074,2.510095707273137,2.540632586317134,2.5561430123323063,0.4984016508042099,0.5129053339985824,0.527409017192955,0.5419127003873275,0.5525731034875243,0.5626708196589381,0.5655033605734798,0.5627288727762939,0.5447905751123264,0.5179579394947778,0.4849184574547909,0.4536719153764281,0.4461880822797155,0.4620893963798766,0.5037392453384647,0.5670701898217576,0.7688118680066656,1.0537866273838723,1.068724478207663,1.1047824930713346,0.4129815976232751,0.4319415011425495,0.4509014046618239,0.4698613081810983,0.4929340427122969,0.5021543969257369,0.5006523796532789,0.5045483365914402,0.5107735430741565,0.5228823009967147,0.5369800145805127,0.5416414845276231,0.5656522252037175,0.6105090257342936,0.6431250377061712,0.679670196678397,0.8452445014653462,1.2522379346941626,1.306246912050148,1.2914460684765443
0.05102099571075232-0.057319504162518214,0.0541702499366352,0.6982872586444591,0.7547451079638601,0.8112029572832609,0.8676608066026615,0.934027023655921,0.9958680740693062,1.0471052379902035,1.096765313808278,1.1329511414795244,1.1632713596604338,1.2024045860239525,1.2271608712854265,1.2504610837034873,1.2961348634115692,1.3532622796741047,1.4543757975042018,1.807471704132172,2.496169147669343,2.6606117430690364,2.647625803773778,0.6927403310234493,0.7840269745509139,0.8753136180783783,0.9666002616058422,1.0402887174667863,1.0672771340889828,1.0817077666397383,1.07664773188578,1.0638272245273628,1.058890111568722,1.0774738243802255,1.129620369597094,1.2085067247405386,1.2944505523331205,1.3684878325265752,1.4323497490391617,1.653791013548212,2.257887616289565,2.309753769981962,2.345717106873957,0.4902599935583691,0.5051893711393189,0.5201187487202686,0.5350481263012185,0.5484844333234073,0.5405603800676992,0.5379663929505992,0.5385839210026832,0.5448556249672234,0.5491634904848837,0.5506426997816056,0.5509943964481572,0.5251673285358659,0.50501562908728,0.4882436435011261,0.4619373240691352,0.582745293536916,0.8427161066412986,0.8861454262799034,0.9373960354296196,0.5421413591769708,0.543407828795538,0.5446742984141051,0.5459407680326723,0.542970169846996,0.541683457175204,0.5328093753788379,0.5180358070246696,0.4930897393460925,0.4864631336439594,0.4883776208988037,0.4928392270742915,0.5208535792680011,0.5556503803713889,0.5792595636635641,0.5971383697094292,0.6159319068667225,1.0032226239539743,1.0983416035006308,1.1444759615712052
0.057319504162518214-0.06439555935096224,0.0608575317567402,0.8977250520207083,0.9354774203530216,0.9732297886853348,1.0109821570176485,1.060126383405158,1.113643382445331,1.16971153386451,1.2113525855954164,1.2677704869899318,1.3300661063729906,1.3845796263450014,1.4258131057199177,1.4127214332795688,1.4176559196851637,1.4360340457371552,1.4111711862652618,1.556312815261414,1.73961103801863,1.701641117214287,1.6628821943671268,0.8324544408658071,0.905923981105218,0.9793935213446292,1.0528630615840395,1.11515119095239,1.147922460839217,1.1728635178983455,1.2017218603535935,1.2268487293597208,1.2547944556123578,1.2937253347690534,1.3365013126395922,1.334033306860746,1.318453157691294,1.3250006418372715,1.386663470167624,1.5071969358817183,1.863963975111308,1.8371674327516851,1.8555535557168443,0.3698248550804294,0.3757421637360681,0.3816594723917068,0.3875767810473454,0.4029056661984478,0.4084083104170932,0.4100455435025848,0.4135190943640696,0.4138869679737402,0.4133012656412373,0.4113133552284198,0.4166524634754543,0.4280559697970413,0.4460525258076642,0.475130387213536,0.5418617773411888,0.7629562109398894,1.0014170842512842,1.0392471067586164,1.0170963119755063,0.4261863411925459,0.4304001025590547,0.4346138639255634,0.438827625292072,0.4430294699201352,0.444073307359877,0.4414318271360068,0.4327623471697685,0.432597434618601,0.4262569655541884,0.4281598514464798,0.4306022391029364,0.4352808114544017,0.4393250585993183,0.4356773836808631,0.4462344187973148,0.5999807682164696,0.8739196243910226,0.8997052848880733,0.9249117467608832
0.06439555935096224-0.07234514891067265,0.0683703541308174,0.671344862736396,0.7430257328235746,0.8147066029107534,0.886387472997932,0.9457396272095746,0.9739624512781307,0.9858925981635324,0.995846901526806,1.0141401745745056,1.0499324164052355,1.0914481973200687,1.1589814846598614,1.2165259153158026,1.2693259579979252,1.3036696538994317,1.316409316802794,1.407385967310511,1.7346039820503174,1.685313031167801,1.65416185051071,0.6906309987862287,0.7981635619641282,0.9056961251420276,1.0132286883199275,1.101166740419946,1.1341275404253053,1.1263841587298593,1.0917966285090897,1.0367790242949084,0.9922173207539896,0.9723132910229796,0.98981020590818,1.0430122237261248,1.1228917057625745,1.201944077091217,1.2983870965472804,1.5705150830859946,1.9508995430871616,2.1026219954278007,2.1673249192003614,0.3637239331137507,0.3834677106746925,0.4032114882356343,0.4229552657965762,0.441739500202642,0.4609452258679106,0.4795557031000906,0.4996572458579964,0.5198830721871928,0.5404391375602581,0.5664107197462374,0.5971326772615211,0.6161365324863834,0.6247866911976162,0.6130929895694065,0.5831859614942374,0.6210721022850639,0.8047636123955033,0.8280776719033929,0.829829769818856,0.2950603022014773,0.330594944340344,0.3661295864792107,0.4016642286180773,0.4250103809849291,0.4529787048176918,0.4753625190946235,0.4832251844723143,0.4761720034607872,0.455984633176315,0.4332543212159187,0.4112857978319204,0.416608743599673,0.4493868690963606,0.5065439936353839,0.5842874091166878,0.6813319900788634,0.8183067951939847,0.8581012537978463,0.8769430664050762
0.07234514891067265-0.08127611008676167,0.0768106294987171,0.7480092289016586,0.8121273930098822,0.8762455571181054,0.9403637212263288,0.9861973777738396,1.0256226976036742,1.0443314147539409,1.0288537108408546,0.992873417414341,0.9664524618698432,0.9427746756417744,0.9321973888136156,0.9367293080137128,0.9486164799020046,0.9688527426180112,0.9708733634237804,0.9892900527807824,1.1371060128762498,1.1993847716332158,1.2172338228657131,0.643690151920568,0.7008723406144337,0.7580545293082993,0.8152367180021648,0.8681391325672825,0.9208222522382704,0.9725313735443832,1.022472542804268,1.0614548958065435,1.0998024360876424,1.1351685165839094,1.1796638533801145,1.2028093578203003,1.2129987455169022,1.21702407517521,1.226971501457896,1.322006835237992,1.5050086855700784,1.5132787313183134,1.542602524537231,0.371713166570162,0.3973122874798833,0.4229114083896047,0.448510529299326,0.4670273593849186,0.4778323987283982,0.4781311947706846,0.4750641223228158,0.4672969677990409,0.4601256866499706,0.4524765531097748,0.4372320620230626,0.4288065622343878,0.4256875520950631,0.4092204556390255,0.3976340865749619,0.4505073434160587,0.6751342198637675,0.7536479872540435,0.7927997800776854,0.3203139784034686,0.3251889727918458,0.3300639671802229,0.3349389615686002,0.3383220521786209,0.33399937421861,0.3317535528030757,0.3384520250266738,0.3527781062414151,0.3852689569098407,0.4240095861267735,0.4691765503084319,0.5060262422224158,0.5207332209530399,0.5299062963958361,0.5339363422270359,0.5087848785323558,0.6233388770714577,0.6131112902178647,0.6246684493487529
